Raman_Shift(cm-1)	Intensity(counts)
378.5786	149.1367
379.3794	152.1202
380.1802	158.8124
380.9810	145.6247
381.7818	167.4655
382.5826	148.3095
383.3834	148.9219
384.1842	134.9024
384.9850	155.7411
385.7858	117.3341
386.5866	113.0073
387.3874	159.9252
388.1882	125.4087
388.9890	160.6632
389.7898	147.5384
390.5906	148.3231
391.3914	161.2744
392.1922	149.2151
392.9930	173.7822
393.7938	158.7894
394.5946	152.6869
395.3954	164.8007
396.1962	158.3376
396.9970	137.7291
397.7978	126.2995
398.5986	159.6760
399.3994	131.9812
400.2002	152.2855
401.0010	140.4176
401.8018	139.7032
402.6026	161.1642
403.4034	158.6833
404.2042	162.0499
405.0050	158.4991
405.8058	164.4130
406.6066	149.1067
407.4074	159.6894
408.2082	132.4377
409.0090	164.0105
409.8098	119.8914
410.6106	145.1737
411.4114	174.7441
412.2122	167.0156
413.0130	173.6601
413.8138	161.3151
414.6146	142.6379
415.4154	160.9576
416.2162	143.8915
417.0170	151.2803
417.8178	140.9548
418.6186	167.0385
419.4194	121.2970
420.2202	154.2827
421.0210	128.1932
421.8218	135.6462
422.6226	142.0885
423.4234	115.1812
424.2242	129.7947
425.0250	170.4349
425.8258	131.7551
426.6266	132.4641
427.4274	154.3808
428.2282	160.7809
429.0290	134.4544
429.8298	141.6039
430.6306	177.4930
431.4314	159.1776
432.2322	160.0428
433.0330	119.9321
433.8338	164.6854
434.6346	120.4397
435.4354	133.7272
436.2362	148.6098
437.0370	133.0998
437.8378	141.6947
438.6386	126.3506
439.4394	125.5389
440.2402	136.9331
441.0410	174.4604
441.8418	184.3739
442.6426	142.7678
443.4434	173.2327
444.2442	162.7321
445.0450	166.0190
445.8458	149.1157
446.6466	149.7011
447.4474	155.7959
448.2482	161.7076
449.0490	169.3618
449.8498	131.1409
450.6507	146.6770
451.4515	126.1176
452.2523	132.1758
453.0531	132.8264
453.8539	170.5669
454.6547	157.9480
455.4555	186.3333
456.2563	187.5159
457.0571	173.2165
457.8579	182.1828
458.6587	173.0000
459.4595	145.0590
460.2603	171.2334
461.0611	134.0708
461.8619	163.2189
462.6627	173.0439
463.4635	169.5728
464.2643	209.3061
465.0651	175.4984
465.8659	154.7491
466.6667	165.1716
467.4675	164.5031
468.2683	169.2018
469.0691	165.5761
469.8699	191.0295
470.6707	162.1366
471.4715	165.3859
472.2723	187.6701
473.0731	200.1030
473.8739	183.5889
474.6747	165.0454
475.4755	176.9581
476.2763	168.1834
477.0771	164.1989
477.8779	180.3086
478.6787	184.1542
479.4795	179.5848
480.2803	194.7179
481.0811	172.6609
481.8819	155.2616
482.6827	245.7071
483.4835	188.6275
484.2843	195.9336
485.0851	218.9669
485.8859	187.1171
486.6867	197.9562
487.4875	228.5553
488.2883	196.9328
489.0891	219.2514
489.8899	209.9085
490.6907	208.1216
491.4915	242.8655
492.2923	226.1507
493.0931	215.4137
493.8939	217.7062
494.6947	235.4019
495.4955	245.2687
496.2963	241.1254
497.0971	233.5490
497.8979	245.6508
498.6987	252.9613
499.4995	242.6553
500.3003	312.6107
501.1011	289.1614
501.9019	287.1081
502.7027	312.5790
503.5035	324.0766
504.3043	326.8332
505.1051	333.3891
505.9059	375.0800
506.7067	383.5187
507.5075	417.6755
508.3083	450.3714
509.1091	495.2144
509.9099	494.6977
510.7107	546.6593
511.5115	601.9758
512.3123	661.0270
513.1131	701.3822
513.9139	752.5326
514.7147	823.7906
515.5155	900.7427
516.3163	978.4631
517.1171	1035.9595
517.9179	1068.6063
518.7187	1135.5274
519.5195	1148.3472
520.3203	1162.1623
521.1211	1129.6020
521.9219	1088.4607
522.7227	1063.0606
523.5235	982.4966
524.3243	895.7080
525.1251	836.5738
525.9259	754.7120
526.7267	729.8221
527.5275	646.0246
528.3283	617.4327
529.1291	527.3673
529.9299	520.9470
530.7307	518.0816
531.5315	442.0121
532.3323	419.0359
533.1331	390.4343
533.9339	370.2215
534.7347	371.0080
535.5355	359.2887
536.3363	314.4893
537.1371	344.8432
537.9379	306.6039
538.7387	301.9618
539.5395	308.9562
540.3403	272.4835
541.1411	260.1169
541.9419	237.8428
542.7427	261.1366
543.5435	272.4712
544.3443	271.0244
545.1451	245.9970
545.9459	245.3196
546.7467	235.3946
547.5475	236.2791
548.3483	228.8808
549.1491	238.6751
549.9499	226.0433
550.7508	203.3921
551.5516	205.1256
552.3524	212.0083
553.1532	194.8817
553.9540	205.6059
554.7548	201.4570
555.5556	194.9051
556.3564	194.2293
557.1572	203.2487
557.9580	201.2804
558.7588	204.7836
559.5596	189.8137
560.3604	177.0930
561.1612	174.6299
561.9620	216.3808
562.7628	193.1004
563.5636	212.1263
564.3644	185.7738
565.1652	187.9032
565.9660	226.7893
566.7668	195.8105
567.5676	180.6851
568.3684	207.6786
569.1692	175.8106
569.9700	172.6554
570.7708	183.9046
571.5716	186.9803
572.3724	193.3388
573.1732	160.8260
573.9740	196.1473
574.7748	195.4325
575.5756	205.4824
576.3764	185.4315
577.1772	192.5697
577.9780	183.3106
578.7788	197.9537
579.5796	195.1746
580.3804	173.2786
581.1812	193.7468
581.9820	185.6300
582.7828	209.3983
583.5836	187.2451
584.3844	182.8653
585.1852	167.7543
585.9860	211.0870
586.7868	172.9159
587.5876	189.9759
588.3884	205.8204
589.1892	178.2205
589.9900	171.4423
590.7908	164.8761
591.5916	198.6693
592.3924	166.4070
593.1932	188.2917
593.9940	186.4610
594.7948	195.7500
595.5956	193.4614
596.3964	202.6901
597.1972	174.4332
597.9980	176.9335
598.7988	173.2056
599.5996	167.9145
600.4004	203.7454
601.2012	173.6656
602.0020	187.5537
602.8028	161.6383
603.6036	169.5362
604.4044	176.4450
605.2052	209.3259
606.0060	191.7053
606.8068	170.3068
607.6076	159.6805
608.4084	189.3057
609.2092	165.3921
610.0100	166.3353
610.8108	202.5771
611.6116	174.0022
612.4124	179.8614
613.2132	191.9835
614.0140	173.6653
614.8148	171.0814
615.6156	181.4360
616.4164	198.4040
617.2172	193.7321
618.0180	174.0138
618.8188	177.9706
619.6196	188.9721
620.4204	202.2978
621.2212	187.1462
622.0220	194.9197
622.8228	175.4716
623.6236	188.3940
624.4244	192.3088
625.2252	198.9939
626.0260	198.3566
626.8268	201.2404
627.6276	192.3802
628.4284	179.3806
629.2292	191.5835
630.0300	197.4860
630.8308	197.4221
631.6316	178.5484
632.4324	169.3992
633.2332	178.0671
634.0340	190.5053
634.8348	168.1697
635.6356	202.8848
636.4364	165.8113
637.2372	199.0101
638.0380	189.5641
638.8388	180.9453
639.6396	196.8941
640.4404	222.8777
641.2412	204.4360
642.0420	196.9290
642.8428	208.5719
643.6436	205.4130
644.4444	185.2005
645.2452	198.7837
646.0460	196.3687
646.8468	203.2829
647.6476	188.8566
648.4484	189.9439
649.2492	213.9794
650.0501	206.3161
650.8509	225.6484
651.6517	193.7717
652.4525	193.2319
653.2533	185.7667
654.0541	196.5871
654.8549	208.5950
655.6557	184.4140
656.4565	202.9397
657.2573	218.0796
658.0581	191.4237
658.8589	188.9513
659.6597	202.1980
660.4605	199.7915
661.2613	210.4592
662.0621	183.2168
662.8629	194.3959
663.6637	197.7818
664.4645	177.7109
665.2653	216.9884
666.0661	197.8351
666.8669	201.4145
667.6677	210.8414
668.4685	217.0652
669.2693	200.0505
670.0701	200.1832
670.8709	210.1477
671.6717	209.6704
672.4725	204.3720
673.2733	215.5206
674.0741	203.5955
674.8749	221.8035
675.6757	182.4730
676.4765	217.5339
677.2773	172.8052
678.0781	192.6448
678.8789	187.2561
679.6797	210.8019
680.4805	219.8094
681.2813	192.2784
682.0821	224.7953
682.8829	213.4504
683.6837	220.3272
684.4845	217.2798
685.2853	201.8764
686.0861	222.8888
686.8869	215.9252
687.6877	195.5414
688.4885	203.6809
689.2893	211.4035
690.0901	227.7951
690.8909	201.2356
691.6917	231.1248
692.4925	209.1619
693.2933	176.2245
694.0941	205.9473
694.8949	208.2557
695.6957	195.7700
696.4965	221.1238
697.2973	228.8837
698.0981	204.5562
698.8989	230.9469
699.6997	205.4277
700.5005	219.4620
701.3013	186.4114
702.1021	227.5494
702.9029	194.8005
703.7037	218.1176
704.5045	220.2701
705.3053	202.9583
706.1061	190.4616
706.9069	221.5919
707.7077	198.8491
708.5085	213.1274
709.3093	230.3427
710.1101	226.9032
710.9109	213.7983
711.7117	200.8722
712.5125	232.5491
713.3133	220.6323
714.1141	220.3307
714.9149	217.2359
715.7157	213.2980
716.5165	231.5531
717.3173	223.6753
718.1181	222.9309
718.9189	213.4921
719.7197	227.2834
720.5205	238.0257
721.3213	219.6861
722.1221	228.8741
722.9229	233.7144
723.7237	261.3767
724.5245	240.8604
725.3253	221.6667
726.1261	242.3838
726.9269	218.6748
727.7277	227.6706
728.5285	245.8980
729.3293	235.7189
730.1301	236.8349
730.9309	235.3100
731.7317	195.5086
732.5325	226.6562
733.3333	224.4509
734.1341	215.6674
734.9349	230.7700
735.7357	216.6020
736.5365	233.3562
737.3373	212.2818
738.1381	229.7828
738.9389	211.5788
739.7397	222.0500
740.5405	237.0542
741.3413	223.6978
742.1421	236.8267
742.9429	216.8047
743.7437	239.4095
744.5445	224.9913
745.3453	245.0248
746.1461	240.7830
746.9469	262.5385
747.7477	241.7812
748.5485	242.1489
749.3493	223.9209
750.1502	238.8085
750.9510	219.7915
751.7518	239.7854
752.5526	258.8424
753.3534	249.7727
754.1542	215.8732
754.9550	228.8763
755.7558	245.3203
756.5566	214.0099
757.3574	242.2283
758.1582	247.3723
758.9590	229.5121
759.7598	273.8692
760.5606	242.1034
761.3614	247.5272
762.1622	231.0990
762.9630	236.3184
763.7638	234.6366
764.5646	240.2723
765.3654	290.2257
766.1662	242.0807
766.9670	251.3054
767.7678	221.5920
768.5686	272.8827
769.3694	253.0150
770.1702	264.3078
770.9710	258.6696
771.7718	253.8347
772.5726	277.7319
773.3734	239.7992
774.1742	288.1688
774.9750	254.3490
775.7758	236.0987
776.5766	252.6079
777.3774	240.1685
778.1782	256.9471
778.9790	265.8130
779.7798	282.6000
780.5806	265.5076
781.3814	236.8072
782.1822	252.8819
782.9830	275.1391
783.7838	261.8989
784.5846	229.5177
785.3854	261.5946
786.1862	277.8679
786.9870	259.8129
787.7878	256.0068
788.5886	271.8498
789.3894	253.3007
790.1902	283.6016
790.9910	258.1343
791.7918	289.6031
792.5926	251.9689
793.3934	260.9020
794.1942	260.5704
794.9950	294.9879
795.7958	273.3099
796.5966	260.4838
797.3974	258.0246
798.1982	287.9120
798.9990	242.4693
799.7998	287.5435
800.6006	292.1215
801.4014	302.9687
802.2022	288.0429
803.0030	301.6293
803.8038	281.4819
804.6046	315.9391
805.4054	305.8204
806.2062	267.0775
807.0070	275.0950
807.8078	281.3809
808.6086	299.9114
809.4094	284.1297
810.2102	294.3526
811.0110	290.7925
811.8118	283.5200
812.6126	301.0167
813.4134	284.4970
814.2142	303.2157
815.0150	311.4779
815.8158	304.9905
816.6166	298.1084
817.4174	310.3297
818.2182	324.9725
819.0190	300.2221
819.8198	301.1705
820.6206	330.2685
821.4214	304.8316
822.2222	329.5566
823.0230	320.6884
823.8238	331.8201
824.6246	331.2969
825.4254	338.3674
826.2262	314.0728
827.0270	359.2257
827.8278	348.2425
828.6286	359.7371
829.4294	386.7761
830.2302	366.2268
831.0310	381.3280
831.8318	393.8244
832.6326	404.1620
833.4334	401.2359
834.2342	424.0980
835.0350	454.0344
835.8358	419.9545
836.6366	459.6564
837.4374	473.5753
838.2382	476.7812
839.0390	503.6329
839.8398	516.0867
840.6406	544.0127
841.4414	549.9193
842.2422	602.3151
843.0430	589.7628
843.8438	646.0938
844.6446	695.2965
845.4454	707.1374
846.2462	728.5348
847.0470	739.8492
847.8478	755.9253
848.6486	791.0903
849.4494	804.4822
850.2503	775.8802
851.0511	769.3626
851.8519	776.6348
852.6527	742.9970
853.4535	729.7732
854.2543	715.7536
855.0551	700.6528
855.8559	675.7539
856.6567	613.1604
857.4575	594.5982
858.2583	595.7955
859.0591	537.8221
859.8599	554.0585
860.6607	542.8993
861.4615	491.8130
862.2623	481.9861
863.0631	476.3764
863.8639	486.1894
864.6647	425.3671
865.4655	406.8819
866.2663	439.7501
867.0671	425.1038
867.8679	399.2991
868.6687	406.0038
869.4695	403.2465
870.2703	401.9871
871.0711	378.9697
871.8719	381.0694
872.6727	387.9401
873.4735	364.4761
874.2743	356.4629
875.0751	372.5982
875.8759	368.2927
876.6767	385.0153
877.4775	359.2840
878.2783	324.4038
879.0791	360.8542
879.8799	375.8179
880.6807	345.4291
881.4815	340.5259
882.2823	359.3791
883.0831	359.2477
883.8839	330.4024
884.6847	337.2561
885.4855	331.3951
886.2863	344.7324
887.0871	333.8684
887.8879	313.2604
888.6887	327.5943
889.4895	348.2627
890.2903	319.2281
891.0911	338.6016
891.8919	308.7968
892.6927	331.0706
893.4935	329.9582
894.2943	363.8596
895.0951	337.4802
895.8959	293.2556
896.6967	326.3665
897.4975	347.9977
898.2983	343.1715
899.0991	327.2797
899.8999	356.4328
900.7007	313.3066
901.5015	321.6476
902.3023	344.1991
903.1031	336.1088
903.9039	346.9209
904.7047	315.7357
905.5055	336.0536
906.3063	340.7446
907.1071	325.1115
907.9079	341.5978
908.7087	305.8851
909.5095	347.7143
910.3103	304.4671
911.1111	327.2320
911.9119	314.1541
912.7127	338.4998
913.5135	320.4523
914.3143	330.0084
915.1151	309.8681
915.9159	307.5976
916.7167	326.9011
917.5175	362.4834
918.3183	342.3032
919.1191	332.2806
919.9199	347.5695
920.7207	350.9224
921.5215	357.2732
922.3223	362.1800
923.1231	330.6723
923.9239	319.1827
924.7247	336.9000
925.5255	362.6156
926.3263	321.6482
927.1271	327.2582
927.9279	372.0780
928.7287	332.2475
929.5295	309.2599
930.3303	324.5471
931.1311	339.0754
931.9319	339.2500
932.7327	331.9365
933.5335	349.3949
934.3343	323.8246
935.1351	339.0610
935.9359	352.5952
936.7367	332.2869
937.5375	336.0419
938.3383	344.2046
939.1391	327.8642
939.9399	337.0678
940.7407	343.3137
941.5415	342.4633
942.3423	345.3491
943.1431	360.1727
943.9439	349.0427
944.7447	338.8542
945.5455	328.9173
946.3463	358.2105
947.1471	339.9020
947.9479	321.9939
948.7487	356.7048
949.5495	356.3288
950.3504	371.8392
951.1512	328.5705
951.9520	371.2128
952.7528	365.4338
953.5536	361.9167
954.3544	344.4228
955.1552	354.8239
955.9560	349.2489
956.7568	383.3615
957.5576	354.1406
958.3584	369.4952
959.1592	350.9294
959.9600	335.5325
960.7608	338.9581
961.5616	358.0263
962.3624	332.1390
963.1632	384.6935
963.9640	353.2676
964.7648	363.1259
965.5656	360.6429
966.3664	362.9131
967.1672	376.7990
967.9680	343.2301
968.7688	342.0524
969.5696	355.9843
970.3704	353.0274
971.1712	375.1755
971.9720	347.0816
972.7728	379.3719
973.5736	322.1802
974.3744	374.8625
975.1752	373.2221
975.9760	341.3848
976.7768	375.0607
977.5776	365.4074
978.3784	358.2857
979.1792	363.0910
979.9800	367.5417
980.7808	371.0904
981.5816	346.9864
982.3824	340.6200
983.1832	351.8719
983.9840	373.2357
984.7848	365.3546
985.5856	357.8270
986.3864	380.2776
987.1872	353.7301
987.9880	386.9182
988.7888	372.1350
989.5896	369.6320
990.3904	373.9740
991.1912	372.1694
991.9920	395.6440
992.7928	384.9279
993.5936	392.0101
994.3944	368.3152
995.1952	369.6703
995.9960	385.3669
996.7968	368.1820
997.5976	389.8214
998.3984	413.9933
999.1992	399.8849
1000.0000	386.4314
